date,specific_region,general_region,trigger,depth_ft,width_ft,url,lat,lon,elevation_ft,slope_angle_deg,vertical_ft,aspect
12/21/2013,Accident: Hidden Canyon,Salt Lake,Skier,2.5,40,https://utahavalanchecenter.org/avalanche/19261,40.594653,-111.561785,10000,32,500,Northwest
12/21/2013,Accident: Patsy Marly,Salt Lake,Skier,2.0,125,https://utahavalanchecenter.org/avalanche/19240,40.592903,-111.618283,9700,35,100,North
12/20/2013,Avalanche: Grizzly Gulch,Salt Lake,Skier,-999.0,100,https://utahavalanchecenter.org/avalanche/19217,40.595348,-111.620944,9300,36,60,Northwest
12/20/2013,Accident: Hidden Canyon,Salt Lake,Skier,2.5,200,https://utahavalanchecenter.org/avalanche/19237,40.594231,-111.561621,10300,-999,700,Northwest
12/19/2013,Avalanche: Davenport Hill,Salt Lake,Skier,1.0,150,https://utahavalanchecenter.org/avalanche/19189,40.599519,-111.623068,10000,36,500,Northwest
12/14/2013,Avalanche: Holy Toledo,Salt Lake,Skier,1.25,60,https://utahavalanchecenter.org/avalanche/19120,40.598248,-111.649375,10100,35,1000,Northwest
12/14/2013,Avalanche: Silver Fork,Salt Lake,Skier,1.0,20,https://utahavalanchecenter.org/avalanche/19142,40.601635,-111.607468,9800,40,100,Northwest
12/9/2013,Avalanche: upper Days,Salt Lake,Skier,0.17,50,https://utahavalanchecenter.org/avalanche/18986,40.599093,-111.628561,10000,Unknown,300,Northeast
12/9/2013,Accident: Grizzly Gulch,Salt Lake,Skier,2.0,150,https://utahavalanchecenter.org/avalanche/18960,40.594924,-111.621759,9200,40,100,North
12/8/2013,Avalanche: Pioneer Ridge,Salt Lake,Unknown,1.0,125,https://utahavalanchecenter.org/avalanche/18970,40.582997,-111.58762,9800,Unknown,200,Northeast
12/8/2013,Avalanche: Sunset Peak,Salt Lake,Natural,1.08,125,https://utahavalanchecenter.org/avalanche/18971,40.572859,-111.591353,10400,Unknown,150,East
12/8/2013,Avalanche: Corner Chute,Salt Lake,Skier,2.0,40,https://utahavalanchecenter.org/avalanche/18923,40.600431,-111.618218,9900,33,200,Northwest
12/8/2013,Avalanche: Davenport Hill,Salt Lake,Snowboarder,3.0,60,https://utahavalanchecenter.org/avalanche/18924,40.599161,-111.623197,10000,-999,150,Northwest
12/8/2013,Avalanche: White Pine,Salt Lake,Skier,1.5,90,https://utahavalanchecenter.org/avalanche/18935,40.55329,-111.670682,9900,34,400,West
12/8/2013,Avalanche: Days Fork,Salt Lake,Skier,1.25,20,https://utahavalanchecenter.org/avalanche/18940,40.60004,-111.636372,10100,45,400,North
12/8/2013,Avalanche: All areas,Salt Lake,Natural,-999.0,-999,https://utahavalanchecenter.org/avalanche/18959,40.600249,-111.65843,-999,-999,-999,-999
12/7/2013,Avalanche: Cardiff Bowl,Salt Lake,Skier,0.5,20,https://utahavalanchecenter.org/avalanche/18906,40.595382,-111.651779,10000,32,250,Southeast
12/7/2013,Avalanche: Red Baldy,Salt Lake,Natural,-999.0,-999,https://utahavalanchecenter.org/avalanche/18925,40.54026,-111.668816,11100,-999,-999,Northwest
12/6/2013,Avalanche: Pioneer Bowl,Salt Lake,Unknown,-999.0,150,https://utahavalanchecenter.org/avalanche/18890,40.582508,-111.58114,10000,Unknown,350,Northwest
12/6/2013,Avalanche: Cardiff Fork,Salt Lake,Natural,-999.0,-999,https://utahavalanchecenter.org/avalanche/18900,40.600764,-111.648216,10200,Unknown,Unknown,West
12/5/2013,Avalanche: Rocky Point,Salt Lake,Skier,0.67,80,https://utahavalanchecenter.org/avalanche/18869,40.578238,-111.597962,10400,40,175,Northeast
12/3/2013,Avalanche: Evergreen Ridge,Salt Lake,Skier,1.0,60,https://utahavalanchecenter.org/avalanche/18816,40.605558,-111.593349,9200,-999,250,Northeast
12/3/2013,Avalanche: Dog Lake Chutes,Salt Lake,Skier,0.33,35,https://utahavalanchecenter.org/avalanche/18818,40.586039,-111.588242,9700,-999,300,Northeast
12/3/2013,Avalanche: Evergreen Ridge,Salt Lake,Skier,1.0,100,https://utahavalanchecenter.org/avalanche/18819,40.600443,-111.598413,9800,40,400,Northwest
11/24/2013,Avalanche: Davenport Hill,Salt Lake,,1.5,60,https://utahavalanchecenter.org/avalanche/18771,40.599772,-111.620171,10000,40,500,North
11/24/2013,Avalanche: Hide A Way Park,Salt Lake,Unknown,-999.0,-999,https://utahavalanchecenter.org/avalanche/18778,40.60369,-111.632509,-999,-999,-999,North
11/17/2013,Avalanche: Patsy Marly,Salt Lake,Skier,4.0,60,https://utahavalanchecenter.org/avalanche/18611,40.589189,-111.609421,10000,Unknown,100,North
11/17/2013,Avalanche: Twin Lakes Pass,Salt Lake,Skier,0.17,25,https://utahavalanchecenter.org/avalanche/18615,40.592057,-111.608477,10200,Unknown,200,Northeast
11/17/2013,Avalanche: Davenport Hill,Salt Lake,Unknown,1.25,-999,https://utahavalanchecenter.org/avalanche/18616,40.599807,-111.621802,10000,42,Unknown,Northeast
11/17/2013,Avalanche: Cardiac Bowl,Salt Lake,Skier,-999.0,70,https://utahavalanchecenter.org/avalanche/18595,40.593385,-111.66564,10600,36,400,Northeast
11/17/2013,Avalanche: Sunset Peak,Salt Lake,Skier,2.0,45,https://utahavalanchecenter.org/avalanche/18601,40.577635,-111.595473,10400,40,100,North
11/16/2013,Avalanche: Rocky Point,Salt Lake,Skier,0.67,60,https://utahavalanchecenter.org/avalanche/18580,40.57851,-111.597812,10400,-999,300,Northeast
11/6/2013,Avalanche: Mt Baldy,Salt Lake,Skier,2.0,200,https://utahavalanchecenter.org/avalanche/18505,40.570459,-111.639311,10600,-999,900,North
10/29/2013,Avalanche: Collins Gulch,Salt Lake,Skier,0.83,60,https://utahavalanchecenter.org/avalanche/18448,40.572598,-111.640363,10100,Unknown,300,North
10/29/2013,Avalanche: Collins Gulch,Salt Lake,Skier,0.83,30,https://utahavalanchecenter.org/avalanche/18449,40.572512,-111.639311,10000,-999,250,North
10/29/2013,Avalanche: Pioneer Bowl,Salt Lake,Natural,1.0,500,https://utahavalanchecenter.org/avalanche/18458,40.581497,-111.582642,10100,40,400,Northwest
